School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Boston: Charlestown High School,00350515,Public School,Charlestown,MA,02129,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     215,     250,     185,     253,39.0,     942,     403,  42.8,     265,  28.1,     221,  23.5,     751,  79.7, , , , ,  37.7,  18.8,  36.6,   5.8,   0.3,   0.0,   0.7,  52.1,  47.9,     290,17.7,        922,70.7,96.9,     305,95.1,13.3,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       281,42.7,24.6,2.8,2.8,27.0,0.0,     903,123.0,13.6,159.0,102.0,64.2,0.642,19.5168,34.6038,9.4374,34.6038,1.8618000000000001,6.933600000000001,28.9542,159.0,42.0,26.4,75.0,     121,41.0,22.0,12.0,0.0,0.0,60.0,29.0,14.0,9.0,9.0,73.6,26.4,100.0,343.0,433.0
Boston: Chittick Elementary School,00350154,Public School,Mattapan,MA,02126,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      29,      46,      44,      41,      45,      44,      39,       0,       0,       0,       0,       0,       0,       0,0.0,     288,      54,  18.8,      45,  15.6,      53,  18.4,     234,  81.3, , , , ,  72.2,   0.7,  22.6,   2.1,   0.0,   0.0,   2.4,  51.7,  48.3,      16,18.4,        295,19.4,100.0,      85,94.1,14.8,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Clap Elementary School,00350298,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      21,      22,      19,      23,      25,      16,      22,       0,       0,       0,       0,       0,       0,       0,0.0,     148,      41,  27.7,      35,  23.6,      36,  24.3,     103,  69.6, , , , ,  25.7,   4.1,  29.1,  37.2,   0.7,   0.7,   2.7,  57.4,  42.6,      23,15.7,        160,11.7,100.0,      52,100.0,12.6,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Community Academy,00350518,Public School,Jamaica Plain,MA,02130,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       5,      13,       9,      18,0.0,      45,       3,   6.7,       1,   2.2,       6,  13.3,      30,  66.7, , , , ,  68.9,   2.2,  28.9,   0.0,   0.0,   0.0,   0.0,  66.7,  33.3,      50,6.2,         53,8.0,100.0,      67,64.2,5.6,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",        30,33.3,6.7,0.0,16.7,43.3,0.0,      45,26.0,57.8,14.0,,,,,,,,,,,14.0,3.0,21.4,1.0,,,,,,,,,,,,,,5.0,,
Boston: Community Academy of Science and Health,00350581,Public School,Dorchester,MA,02122,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      97,      68,     141,      96,0.0,     402,     218,  54.2,     181,  45.0,      73,  18.2,     296,  73.6, , , , ,  74.6,   1.0,  21.4,   1.5,   0.0,   0.2,   1.2,  49.5,  50.5,     130,17.4,        413,31.8,96.3,     128,92.2,12.6,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       143,57.3,25.9,0.0,0.7,15.4,0.7,     402,28.0,7.0,100.0,64.0,64.0,0.0,9.984,44.032,9.984,41.023999999999994,1.024,8.0,19.968,100.0,43.0,43.0,57.0,      97,30.0,14.0,13.0,0.0,0.0,82.0,11.0,4.0,0.0,0.0,95.9,4.1,62.0,346.0,386.0
Boston: Condon K-8 School,00350146,Public School,South Boston,MA,02127,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      80,     104,     118,     110,     115,     126,     121,       0,       0,       0,       0,       0,       0,       0,0.0,     774,     300,  38.8,     233,  30.1,     162,  20.9,     661,  85.4, , , , ,  37.7,   8.7,  31.3,  18.9,   0.4,   0.0,   3.1,  50.5,  49.5,     149,16.7,        809,57.1,98.1,     296,90.9,13.5,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Conley Elementary School,00350122,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      32,      27,      27,      27,      27,      28,      30,       0,       0,       0,       0,       0,       0,       0,0.0,     198,      49,  24.7,      32,  16.2,      75,  37.9,     139,  70.2, , , , ,  21.2,   4.0,  48.5,  22.2,   0.0,   0.0,   4.0,  52.5,  47.5,      31,14.9,        209,16.1,100.0,      84,94.0,12.3,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Curley K-8 School,00350020,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      53,      64,      63,      66,      59,      68,      51,     106,      93,      87,       0,       0,       0,       0,0.0,     710,     329,  46.3,     262,  36.9,     142,  20.0,     520,  73.2, , , , ,  18.5,   3.0,  58.3,  17.6,   0.0,   0.0,   2.7,  51.4,  48.6,     245,15.1,        746,66.1,100.0,     331,98.8,10.7,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Dearborn 6-12 STEM Academy,00350074,Public School,Roxbury,MA,02119,"06,07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,      88,      90,      80,       0,       0,       0,       0,0.0,     258,     142,  55.0,     112,  43.4,      45,  17.4,     224,  86.8, , , , ,  66.7,   0.0,  28.3,   1.9,   0.4,   0.0,   2.7,  53.5,  46.5,      86,16.1,        261,28.2,100.0,      91,85.7,9.2,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Dever Elementary School,00350268,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      22,      85,      84,      84,      76,      69,      62,       0,       0,       0,       0,       0,       0,       0,0.0,     482,     273,  56.6,     233,  48.3,      81,  16.8,     435,  90.2, , , , ,  28.0,   8.7,  55.4,   5.4,   0.4,   0.2,   1.9,  52.7,  47.3,      96,16.7,        501,37.1,86.5,     209,92.8,13.0,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: East Boston Early Education Center,00350009,Public School,East Boston,MA,02128,"PK,K,01",Boston,00350000,Public School District,      81,      57,      45,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     183,     155,  84.7,     134,  73.2,      18,   9.8,     159,  86.9, , , , ,   2.2,   0.5,  79.2,  14.8,   1.1,   0.0,   2.2,  51.9,  48.1,      11,16.1,        177,13.1,100.0,      56,100.0,14.0,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: East Boston High School,00350530,Public School,East Boston,MA,02128,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     421,     302,     273,     380,6.0,"   1,382",     801,  58.0,     414,  30.0,     238,  17.2,"   1,164",  84.2, , , , ,  14.0,   1.9,  67.3,  15.6,   0.3,   0.0,   0.9,  52.2,  47.8,     319,16.1,"      1,359",89.1,95.5,     367,93.7,15.5,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       332,53.0,29.8,0.3,1.8,14.8,0.3,"   1,376",70.0,5.1,197.0,109.0,55.3,2.0461,17.7513,27.3735,8.1291,26.3781,1.5483999999999998,6.580699999999999,25.8804,197.0,34.0,17.3,110.0,     214,51.0,24.0,25.0,10.0,0.0,127.0,56.0,28.0,1.0,2.0,85.5,14.5,125.0,396.0,433.0
Boston: Edison K-8 School,00350375,Public School,Brighton,MA,02135,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      44,      70,      62,      73,      60,      74,      67,     133,      93,      98,       0,       0,       0,       0,0.0,     774,     400,  51.7,     286,  37.0,     145,  18.7,     637,  82.3, , , , ,  29.1,  12.8,  42.2,  12.4,   1.3,   0.1,   2.1,  55.7,  44.3,     156,18.3,        812,61.5,98.4,     277,79.1,12.6,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Eliot K-8 Innovation School,00350096,Public School,Boston,MA,02113,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      38,      35,      37,      22,      27,      26,      32,      34,      28,      36,       0,       0,       0,       0,0.0,     315,      84,  26.7,      51,  16.2,      76,  24.1,     171,  54.3, , , , ,  18.1,   4.1,  39.4,  35.2,   0.0,   0.0,   3.2,  50.8,  49.2,      85,17.9,        329,22.8,100.0,      72,95.8,13.8,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Ellis Elementary School,00350072,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      42,      57,      46,      58,      42,      44,      30,       0,       0,       0,       0,       0,       0,       0,0.0,     319,     141,  44.2,     126,  39.5,      40,  12.5,     286,  89.7, , , , ,  37.0,   0.3,  61.4,   0.6,   0.3,   0.0,   0.3,  49.2,  50.8,      59,13.2,        331,26.7,100.0,     109,100.0,12.0,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Ellison-Parks Early Education School,00350008,Public School,Mattapan,MA,02126,"PK,K,01,02,03",Boston,00350000,Public School District,      37,      37,      30,      55,      34,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     193,     113,  58.5,     107,  55.4,      30,  15.5,     153,  79.3, , , , ,  51.3,   6.7,  40.4,   0.5,   0.0,   0.0,   1.0,  51.3,  48.7,      12,17.1,        205,13.1,84.7,      56,73.2,14.7,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: English High School,00350535,Public School,Jamaica Plain,MA,02130,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     289,     122,     195,     169,2.0,     777,     392,  50.5,     285,  36.7,     192,  24.7,     557,  71.7, , , , ,  35.5,   2.1,  57.3,   3.7,   0.4,   0.0,   1.0,  58.3,  41.7,     284,16.0,        786,72.9,99.1,     277,90.3,10.7,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       149,50.3,33.6,0.0,1.3,12.8,2.0,     775,44.0,5.7,103.0,57.0,55.3,0.0,12.6084,35.889700000000005,6.801900000000001,35.889700000000005,1.9354999999999998,3.8709999999999996,19.4103,103.0,49.0,47.6,54.0,      72,37.0,16.0,1.0,0.0,0.0,54.0,10.0,4.0,3.0,1.0,88.9,11.1,81.0,358.0,367.0
Boston: Everett Elementary School,00350088,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      15,      40,      42,      40,      47,      39,      47,       0,       0,       0,       0,       0,       0,       0,0.0,     270,     121,  44.8,      82,  30.4,      30,  11.1,     205,  75.9, , , , ,  39.3,  18.5,  29.6,   8.1,   0.0,   0.7,   3.7,  53.0,  47.0,      34,19.9,        300,19.4,100.0,      71,100.0,13.9,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Excel High School,00350522,Public School,South Boston,MA,02127,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     121,      84,     104,      87,4.0,     400,     216,  54.0,     119,  29.8,      75,  18.8,     335,  83.8, , , , ,  32.0,  35.8,  20.0,  10.8,   0.3,   0.0,   1.3,  59.5,  40.5,     104,21.1,        406,26.2,98.6,      98,98.0,15.3,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       140,56.4,26.4,1.4,2.9,12.1,0.7,     396,15.0,3.8,87.0,55.0,63.2,0.0,13.777600000000001,35.644800000000004,13.777600000000001,35.644800000000004,0.0,12.64,27.555200000000003,87.0,36.0,41.4,30.0,      52,13.0,12.0,5.0,0.0,0.0,28.0,13.0,6.0,4.0,1.0,78.8,21.2,74.0,366.0,455.0
Boston: Fenway High School,00350540,Public School,Roxbury,MA,02120,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      75,      75,      76,      64,0.0,     290,      96,  33.1,      15,   5.2,      34,  11.7,     196,  67.6, , , , ,  40.0,   3.1,  47.2,   7.2,   0.3,   0.3,   1.7,  45.9,  54.1,      81,20.2,        295,21.3,91.0,      57,91.2,13.6,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",        70,82.9,8.6,0.0,0.0,8.6,0.0,     290,4.0,1.4,61.0,47.0,77.0,0.0,45.891999999999996,16.401,14.707,16.401,8.161999999999999,6.545,60.599,61.0,4.0,6.6,,,,,,,,,,,,,,,56.0,420.0,462.0
Boston: Frederick Pilot Middle School,00350383,Public School,Dorchester,MA,02121,"06,07,08",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,     196,     215,     204,       0,       0,       0,       0,0.0,     615,     296,  48.1,     205,  33.3,     144,  23.4,     506,  82.3, , , , ,  51.2,   1.1,  42.8,   2.9,   0.7,   0.0,   1.3,  48.1,  51.9,     239,16.8,        618,57.0,96.5,     232,96.1,10.8,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Gardner Pilot Academy,00350326,Public School,Allston,MA,02134,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      22,      49,      61,      59,      53,      49,      47,       0,       0,       0,       0,       0,       0,       0,0.0,     340,     226,  66.5,     178,  52.4,      58,  17.1,     288,  84.7, , , , ,  15.0,   7.9,  63.2,  10.6,   0.3,   0.3,   2.6,  55.0,  45.0,      20,17.8,        356,26.5,100.0,      95,100.0,12.8,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Greater Egleston High School,00350543,Public School,Roxbury,MA,02119,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      19,      34,      28,      78,0.0,     159,      68,  42.8,      14,   8.8,      26,  16.4,     123,  77.4, , , , ,  32.7,   0.0,  61.0,   3.8,   0.0,   0.0,   2.5,  47.8,  52.2,      32,8.2,         70,9.0,100.0,      26,73.1,17.7,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",        73,30.1,39.7,1.4,5.5,23.3,0.0,     159,38.0,23.9,65.0,22.0,33.8,0.0,7.672599999999999,24.572599999999998,1.521,24.572599999999998,0.0,1.521,9.1936,65.0,22.0,33.8,,,,,,,,,,,,,,,22.0,358.0,321.0
Boston: Greenwood Sarah K-8 School,00350308,Public School,Dorchester,MA,02121,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      47,      45,      46,      47,      47,      44,      34,      22,      24,      21,       0,       0,       0,       0,0.0,     377,     243,  64.5,     215,  57.0,      63,  16.7,     349,  92.6, , , , ,  25.7,   1.1,  69.8,   1.6,   0.0,   0.3,   1.6,  49.1,  50.9,     102,15.2,        403,27.5,100.0,     149,98.0,13.7,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Grew Elementary School,00350135,Public School,Hyde Park,MA,02136,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,       0,      43,      44,      41,      41,      44,      35,       0,       0,       0,       0,       0,       0,       0,0.0,     248,      79,  31.9,      57,  23.0,      38,  15.3,     211,  85.1, , , , ,  56.0,   1.6,  34.7,   4.8,   0.4,   0.0,   2.4,  54.0,  46.0,      48,19.1,        280,16.0,100.0,      88,87.5,15.5,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
